player,player_id,position,player_game_count,team_name,snap_counts_kickoff_return,snap_counts_kickoff,snap_counts_punt_return,snap_counts_punt_coverage,snap_counts_field_goal_blocking,snap_counts_field_goal,grades_misc_st,grades_kickoff_kicker,grades_kick_return,grades_punter,grades_punt_return,grades_fgep_kicker,penalties,declined_penalties,tackles,assists,missed_tackles,season,week
Mike Pennel,9316,DI,1,GB,0,0,0,0,0,4,61.0,,,,,,0,0,0,0,0,2016,6
Shayne Skov,9317,LB,1,SF,8,5,4,5,7,0,68.4,,,,,,0,0,1,0,0,2016,6
Zachary Orr,9326,LB,1,BLT,0,0,0,6,5,0,58.6,,,,,,0,0,0,0,0,2016,6
Louis Young,9335,CB,1,CAR,0,2,4,0,2,0,60.3,,,,,,0,0,0,0,0,2016,6
Jayrone Elliott,9336,ED,1,GB,0,2,2,1,6,0,61.1,,,,,,0,0,0,0,0,2016,6
Jacob Schum,9373,P,1,GB,0,0,0,1,0,4,60.2,,,60.0,,,0,0,0,0,0,2016,6
Brandon Scherff,9438,G,1,WAS,0,0,0,0,0,5,60.7,,,,,,0,0,0,0,0,2016,6
Leonard Williams,9439,DI,1,NYJ,0,0,1,0,4,0,60.3,,,,,,0,0,0,0,0,2016,6
Ereck Flowers,9442,T,1,NYG,0,0,0,0,0,5,60.7,,,,,,0,0,0,0,0,2016,6
Andrus Peat,9446,T,1,NO,0,0,0,0,0,4,60.6,,,,,,0,0,0,0,0,2016,6
Kevin Johnson,9449,CB,1,HST,0,5,5,1,6,0,42.0,,,,,,1,0,0,0,0,2016,6
Cedric Ogbuehi,9454,T,1,CIN,0,0,0,0,0,3,60.3,,,,,,0,0,0,0,0,2016,6
D.J. Humphries,9457,T,1,ARZ,0,0,0,0,0,4,60.6,,,,,,0,0,0,0,0,2016,6
Shaq Thompson,9458,LB,1,CAR,0,0,0,3,8,0,59.6,,,,,,0,0,0,0,0,2016,6
Byron Jones,9460,S,1,DAL,0,7,1,0,0,0,45.4,,,,,,0,0,0,0,1,2016,6
Laken Tomlinson,9461,G,1,DET,0,0,0,0,0,5,60.7,,,,,,0,0,0,0,0,2016,6
Damarious Randall,9463,CB,1,GB,0,0,0,0,1,0,60.0,,,,,,0,0,0,0,0,2016,6
Stephone Anthony,9464,ED,1,NO,7,8,5,0,5,0,51.4,,,,,,0,0,0,0,0,2016,6
Malcom Brown,9465,DI,1,NE,0,0,1,0,3,0,59.8,,,,,,0,0,0,0,0,2016,6
Landon Collins,9466,S,1,NYG,0,0,0,4,5,0,59.6,,,,,,0,0,0,0,0,2016,6
Preston Smith,9471,ED,1,WAS,0,0,0,0,4,0,59.4,,,,,,0,0,0,0,0,2016,6
Benardrick McKinney,9476,LB,1,HST,0,0,3,2,6,0,59.6,,,,,,0,0,0,0,0,2016,6
Mitch Morse,9482,C,1,KC,0,0,0,0,0,6,60.5,,,,,,0,0,0,0,0,2016,6
Ronald Darby,9483,CB,1,BUF,0,0,5,0,4,0,60.0,,,,,,0,0,0,0,0,2016,6
Jordan Phillips,9485,DI,1,MIA,0,0,2,0,1,1,29.4,,,,,,1,0,0,0,0,2016,6
Rob Havenstein,9490,T,1,LA,0,0,0,0,0,4,60.6,,,,,,0,0,0,0,0,2016,6
