player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties,season,week
Tyson Jackson,4926,DI,1,ATL,35,15,20,0,38.3,36.9,,58.1,,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,1,0,2014,14
Malcolm Jenkins,4937,S,1,PHI,86,0,42,44,55.3,61.1,49.6,,54.2,1,0,1,0,0,6,2,3,2,0,11,9,111,12.3,27,23.0,1,0,1,139.0,0,0,2014,14
Brian Cushing,4938,LB,1,HST,47,7,17,23,66.3,52.8,32.9,72.3,68.8,4,0,1,3,0,4,1,2,2,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Larry English,4939,ED,1,TB,17,7,10,0,63.6,47.9,68.1,84.8,,1,1,0,0,0,0,0,0,1,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Clay Matthews,4949,ED,1,GB,67,25,25,17,74.7,70.5,79.1,60.1,75.5,3,1,1,1,0,3,1,0,3,0,1,0,0,,0,,0,0,0,39.6,0,0,2014,14
Ziggy Hood,4955,DI,1,JAX,26,7,19,0,81.5,79.6,69.6,56.7,,0,0,0,0,0,3,0,0,2,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Louis Delmas,4956,S,1,MIA,54,4,20,30,54.1,53.0,38.8,72.0,54.6,2,0,0,2,0,2,1,1,1,0,1,1,13,13.0,0,13.0,1,0,0,158.3,0,0,2014,14
Patrick Chung,4957,S,1,NE,43,1,15,27,75.3,68.1,79.3,60.0,71.0,0,0,0,0,0,2,0,0,2,0,2,1,4,4.0,7,4.0,0,0,0,56.3,0,0,2014,14
James Laurinaitis,4958,LB,1,SL,49,15,10,24,78.2,75.2,82.7,63.9,71.3,2,2,0,0,0,2,2,0,4,0,4,1,6,6.0,0,6.0,0,0,0,39.6,0,0,2014,14
Rey Maualuga,4961,LB,1,CIN,53,2,30,21,54.8,53.8,42.5,59.0,60.0,0,0,0,0,0,7,1,3,5,0,4,3,35,11.7,35,17.0,0,0,0,101.0,0,0,2014,14
Darius Butler,4964,CB,1,IND,65,1,30,34,65.3,64.0,78.8,59.0,64.4,0,0,0,0,0,4,0,0,2,0,5,3,35,11.7,5,20.0,0,0,0,81.3,0,0,2014,14
Everette Brown,4966,ED,1,WAS,5,2,3,0,68.8,59.8,,69.0,,2,0,1,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Connor Barwin,4969,ED,1,PHI,77,15,38,24,59.0,44.3,34.7,72.4,65.5,4,1,2,1,0,5,1,2,2,0,2,1,1,1.0,4,1.0,0,0,0,56.3,0,0,2014,14
Mike Mitchell,4970,S,1,PIT,61,0,19,42,46.4,71.0,41.3,,44.4,0,0,0,0,0,3,0,1,1,0,1,1,8,8.0,0,8.0,0,0,0,100.0,0,0,2014,14
William Moore,4978,S,1,ATL,13,0,6,7,27.4,53.1,32.4,,30.3,0,0,0,0,0,2,0,1,0,0,2,2,52,26.0,12,30.0,0,0,0,118.8,0,0,2014,14
Paul Kruger,4980,ED,1,CLV,76,55,15,6,76.7,39.9,74.1,84.7,75.3,6,1,1,4,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,1,0,2014,14
Sherrod Martin,4982,S,1,JAX,24,0,14,10,55.2,57.6,33.0,,57.4,0,0,0,0,0,2,0,1,0,1,1,1,25,25.0,3,25.0,0,0,0,118.8,0,0,2014,14
Sean Smith,4984,CB,1,KC,69,0,30,39,84.2,71.5,79.4,,85.1,0,0,0,0,0,4,0,0,0,0,6,3,34,11.3,0,16.0,0,0,2,67.4,0,0,2014,14
Sen'Derrick Marks,4985,DI,1,JAX,42,18,24,0,64.6,58.7,70.6,68.5,60.0,2,0,1,1,0,4,0,0,4,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Bradley Fletcher,4989,CB,1,PHI,86,0,42,44,73.9,68.2,76.4,,73.0,0,0,0,0,0,1,1,0,0,0,2,0,0,,0,,0,0,1,39.6,1,0,2014,14
Michael Johnson,4993,ED,1,TB,49,27,21,1,57.0,63.8,23.8,60.9,57.4,4,0,2,2,0,0,1,1,0,0,0,0,0,,0,,0,0,0,0.0,0,0,2014,14
Matt Shaughnessy,4994,ED,1,ARZ,30,14,10,6,56.4,43.4,49.5,55.9,78.2,1,0,0,1,0,4,0,1,3,0,2,2,5,2.5,17,6.0,0,0,0,79.2,0,0,2014,14
