season,week,team_name,assists,declined_penalties,grades_fgep_kicker,grades_kick_return,grades_kickoff_kicker,snap_counts_field_goal_blocking,grades_misc_st,grades_punt_return,grades_punter,missed_tackles,penalties,tackles,all_penalties,team_name_games,opponent,over_under_line,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite,fantasy_points
2013,4,SD,2.0,0.0,64.7,59.1,60.0,4.0,60.06176470588237,61.0,62.8,0.0,2.0,4.0,2.0,LAC,DAL,48.0,,80.0,7.0,1.5,0,8.0
2013,4,SEA,0.0,0.0,85.4,58.55,60.0,4.0,62.92857142857143,63.7,64.8,1.0,1.0,3.0,1.0,SEA,HOU,41.0,DOME (Open Roof),82.0,9.0,-2.0,1,8.0
2013,4,SF,2.0,0.0,51.2,59.8,59.9,1.0,60.485714285714295,61.9,70.9,0.0,3.0,9.0,3.0,SF,LAR,43.5,DOME,72.0,0.0,-4.0,1,2.0
2013,4,SL,0.0,0.0,60.7,61.7,60.0,7.0,57.55277777777778,44.1,81.0,0.0,2.0,1.0,2.0,LAR,SF,43.5,DOME,72.0,0.0,4.0,0,14.0
2013,4,TB,0.0,0.0,74.8,59.3,60.0,3.0,57.99210526315788,62.1,64.1,1.0,2.0,1.0,2.0,TB,ARI,40.0,,84.0,7.0,-2.5,1,6.0
2013,4,TEN,1.0,0.0,61.9,58.3,60.9,3.0,59.99729729729728,62.0,63.2,0.0,2.0,5.0,2.0,TEN,NYJ,40.5,Rain,74.0,4.0,-3.5,1,6.0
2013,4,WAS,2.0,0.0,61.5,58.8,60.0,3.0,58.73783783783783,62.1,58.1,1.0,1.0,5.0,1.0,WAS,OAK,46.0,,77.0,5.0,-4.0,1,6.0
2013,5,ARZ,0.0,0.0,68.7,59.75,60.0,3.0,59.33611111111111,61.9,64.7,1.0,0.0,3.0,0.0,ARI,CAR,42.5,DOME,72.0,0.0,3.0,0,6.0
2013,5,ATL,0.0,0.0,61.2,61.6,60.0,6.0,56.24705882352941,61.8,63.0,2.0,1.0,4.0,1.0,ATL,NYJ,45.0,DOME,72.0,0.0,-10.5,1,12.0
2013,5,BLT,1.0,0.0,78.5,65.7,60.9,6.0,59.85428571428571,63.3,57.1,2.0,3.0,3.0,3.0,BAL,MIA,43.0,,87.0,6.0,2.5,0,12.0
2013,5,BUF,1.0,0.0,66.4,57.4,60.0,7.0,56.82285714285714,64.7,61.5,5.0,1.0,9.0,1.0,BUF,CLE,41.0,Rain,75.0,8.0,4.0,0,14.0
2013,5,CAR,0.0,1.0,68.7,66.45,60.0,4.0,57.05161290322582,60.9,62.1,1.0,4.0,3.0,5.0,CAR,ARI,42.5,DOME,72.0,0.0,-3.0,1,8.0
2013,5,CHI,1.0,0.0,61.1,61.3,60.0,6.0,58.46666666666666,61.4,61.4,1.0,2.0,3.0,2.0,CHI,NO,51.5,,61.0,12.0,1.5,0,12.0
2013,5,CIN,1.0,0.0,67.6,62.9,60.0,2.0,59.7388888888889,61.4,63.7,2.0,2.0,8.0,2.0,CIN,NE,45.5,,74.0,7.0,1.0,0,4.0
2013,5,CLV,1.0,0.0,64.8,51.65,62.5,5.0,60.813157894736854,91.5,59.1,1.0,1.0,4.0,1.0,CLE,BUF,41.0,Rain,75.0,8.0,-4.0,1,10.0
2013,5,DAL,2.0,0.0,67.4,62.2,63.6,9.0,59.47105263157895,,60.0,0.0,1.0,5.0,1.0,DAL,DEN,57.5,DOME,72.0,0.0,9.0,0,18.0
2013,5,DEN,0.0,0.0,69.2,69.9,64.2,6.0,60.016129032258064,60.1,,0.0,0.0,5.0,0.0,DEN,DAL,57.5,DOME,72.0,0.0,-9.0,1,12.0
2013,5,DET,2.0,0.0,62.0,58.5,60.0,6.0,60.53999999999999,60.3,68.1,1.0,3.0,4.0,3.0,DET,GB,55.0,,61.0,12.0,9.5,0,12.0
