season,week,team_name,team_name_games,opponent,fantasy_points,points_allowed_passing,points_allowed_receiving,points_allowed_return_team,points_allowed_rushing,points_allowed_total,points_scored
2013,8,SL,LAR,SEA,17.0,13.56,30.9,0.0,4.4,48.86000000000001,14.0
2013,8,TB,TB,CAR,18.0,16.84,45.6,0.0,24.9,87.34,37.0
2013,8,WAS,WAS,DEN,42.0,27.16,74.4,0.0,14.7,116.26,45.0
2013,9,ATL,ATL,CAR,23.0,11.96,40.40000000000001,0.0,25.1,77.46000000000002,34.0
2013,9,BLT,BAL,CLE,24.0,22.4,56.0,0.0,5.3,83.7,36.0
2013,9,BUF,BUF,KC,13.0,4.96,21.9,0.0,7.5,34.36,17.0
2013,9,CAR,CAR,ATL,19.0,9.76,35.90000000000001,0.0,5.800000000000002,51.46,16.0
2013,9,CHI,CHI,GB,13.0,4.6400000000000015,18.1,0.0,29.9,52.64,32.0
2013,9,CIN,CIN,MIA,13.0,8.32,30.8,0.0,19.700000000000006,58.82,14.0
2013,9,CLV,CLE,BAL,17.0,17.0,48.99999999999999,0.0,5.500000000000001,71.5,34.0
2013,9,DAL,DAL,MIN,16.0,12.44,42.1,0.0,24.9,79.44,35.0
2013,9,GB,GB,CHI,22.0,18.880000000000006,50.2,0.0,23.1,92.18000000000002,27.0
2013,9,HST,HOU,IND,22.0,22.84,54.10000000000001,0.0,6.9,83.84,43.0
2013,9,IND,IND,HOU,28.0,26.0,63.00000000000001,0.0,14.3,103.3,42.0
2013,9,KC,KC,BUF,22.0,11.16,35.90000000000001,0.0,24.1,71.16,13.0
2013,9,MIA,MIA,CIN,17.0,10.52,49.8,0.0,26.3,86.61999999999998,20.0
2013,9,MIN,MIN,DAL,24.0,20.48,62.70000000000001,0.0,3.6,86.78000000000002,27.0
2013,9,NE,NE,PIT,36.0,30.0,78.0,0.0,8.8,116.8,55.0
2013,9,NO,NO,NYJ,8.0,5.6000000000000005,18.5,0.0,31.8,55.9,38.0
2013,9,NYJ,NYJ,NO,29.0,21.28,65.2,0.0,2.1000000000000005,88.58,20.0
2013,9,OAK,OAK,PHI,52.0,44.76000000000001,95.9,0.0,12.400000000000002,153.06,49.0
2013,9,PHI,PHI,OAK,8.0,13.0,51.99999999999999,0.0,31.00000000000001,96.0,62.0
2013,9,PIT,PIT,NE,40.0,33.28,76.7,0.0,35.7,145.68,79.0
