season,week,team_name,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,punt_attempts,punt_fair_catches,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,team_name_games,opponent,over_under_line,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite,fantasy_points
2013,5,ARZ,59.9,61.9,61.3,1,0,0,0,18,18.0,2,0,0,0,20,10.0,ARI,CAR,42.5,DOME,72.0,0.0,3.0,0,0
2013,5,ATL,61.6,61.8,61.65,1,0,0,0,23,23.0,2,1,0,0,22,11.0,ATL,NYJ,45.0,DOME,72.0,0.0,-10.5,1,0
2013,5,BLT,65.7,63.3,64.4,4,0,0,0,128,32.0,4,0,0,0,50,12.5,BAL,MIA,43.0,,87.0,6.0,2.5,0,0
2013,5,BUF,57.4,64.7,61.53333333333333,2,0,0,0,37,18.5,2,2,0,0,34,17.0,BUF,CLE,41.0,Rain,75.0,8.0,4.0,0,0
2013,5,CAR,72.9,60.9,72.6,2,0,0,0,63,31.5,1,2,0,0,6,6.0,CAR,ARI,42.5,DOME,72.0,0.0,-3.0,1,0
2013,5,CHI,61.3,61.4,62.2,2,0,0,0,49,24.5,1,0,0,0,17,17.0,CHI,NO,51.5,,61.0,12.0,1.5,0,0
2013,5,CIN,62.9,61.4,62.5,1,0,0,0,29,29.0,3,1,0,0,17,6.0,CIN,NE,45.5,,74.0,7.0,1.0,0,0
2013,5,CLV,43.3,91.5,63.6,3,0,0,0,44,14.7,7,0,0,1,179,25.6,CLE,BUF,41.0,Rain,75.0,8.0,-4.0,1,6
2013,5,DAL,62.2,,62.40000000000001,5,0,0,0,123,23.43333333333333,0,0,0,0,0,,DAL,DEN,57.5,DOME,72.0,0.0,9.0,0,0
2013,5,DEN,69.9,60.1,70.6,4,0,0,0,93,17.5,1,0,0,0,9,9.0,DEN,DAL,57.5,DOME,72.0,0.0,-9.0,1,0
2013,5,DET,58.5,60.3,58.7,5,0,0,0,40,8.0,0,1,0,0,0,,DET,GB,55.0,,61.0,12.0,9.5,0,0
2013,5,GB,60.0,61.1,60.65,1,0,0,0,0,0.0,4,0,0,0,14,3.5,GB,DET,55.0,,61.0,12.0,-9.5,1,0
2013,5,HST,61.75,60.6,61.36666666666667,7,0,0,0,140,17.0,3,1,0,0,20,7.25,HOU,SF,44.0,,76.0,9.0,4.5,0,0
2013,5,IND,58.5,60.1,59.25,5,0,0,0,107,21.4,0,2,0,0,0,,IND,SEA,44.0,DOME,72.0,0.0,3.0,0,0
2013,5,JAX,65.0,85.3,72.45,2,0,0,0,64,32.0,4,1,0,0,5,1.3,JAX,LAR,41.0,DOME,72.0,0.0,11.0,0,0
2013,5,KC,72.8,63.5,68.35,1,0,0,0,36,36.0,5,1,0,0,39,7.8,KC,TEN,38.5,Rain,74.0,6.0,-3.0,1,0
2013,5,MIA,61.3,61.6,62.2,2,0,0,0,49,24.5,1,1,0,0,11,11.0,MIA,BAL,43.0,,87.0,6.0,-2.5,1,0
2013,5,NE,61.7,55.9,60.16666666666666,4,0,0,0,93,21.85,4,1,0,0,43,10.8,NE,CIN,45.5,,74.0,7.0,-1.0,1,0
2013,5,NO,62.8,53.3,58.0,3,0,0,0,38,9.5,1,1,0,0,2,2.0,NO,CHI,51.5,,61.0,12.0,-1.5,1,0
2013,5,NYG,59.2,61.1,59.73333333333333,6,0,0,0,57,12.1,1,2,0,0,8,8.0,NYG,PHI,54.0,Fog,69.0,9.0,-1.5,1,0
2013,5,NYJ,62.8,69.5,65.35,2,0,0,0,54,27.0,2,0,0,0,29,14.5,NYJ,ATL,45.0,DOME,72.0,0.0,10.5,0,0
2013,5,OAK,63.1,60.1,61.8,4,0,0,0,92,23.0,0,2,0,0,0,,OAK,LAC,47.0,,70.0,2.0,5.0,0,0
2013,5,PHI,58.5,63.0,60.8,1,0,0,0,0,0.0,3,1,0,0,24,8.0,PHI,NYG,54.0,Fog,69.0,9.0,1.5,0,0
2013,5,SD,58.8,46.05,51.96666666666667,5,0,0,0,46,9.2,1,1,0,0,21,21.0,LAC,OAK,47.0,,70.0,2.0,-5.0,1,0
2013,5,SEA,56.3,61.4,50.0,4,0,0,0,39,12.5,1,0,0,0,14,14.0,SEA,IND,44.0,DOME,72.0,0.0,-3.0,1,0
2013,5,SF,62.9,61.8,62.3,1,0,0,0,29,29.0,2,1,0,0,28,14.0,SF,HOU,44.0,,76.0,9.0,-4.5,1,0
2013,5,SL,54.5,91.6,70.3,2,0,0,0,52,26.0,4,0,0,0,15,3.8,LAR,JAX,41.0,DOME,72.0,0.0,-11.0,1,0
2013,5,TEN,57.7,62.4,59.5,2,0,0,0,48,24.0,3,1,0,0,18,6.0,TEN,KC,38.5,Rain,74.0,6.0,3.0,0,0
2013,6,ARZ,57.7,62.6,59.7,2,0,0,0,42,21.0,3,1,0,0,18,6.0,ARI,SF,41.0,,67.0,5.0,10.5,0,0
2013,6,BLT,66.3,64.7,67.1,4,0,0,0,102,25.5,2,1,0,0,38,19.0,BAL,GB,48.0,Rain,68.0,10.0,2.0,0,0
2013,6,BUF,58.9,62.0,60.2,5,0,0,0,101,15.25,2,2,0,0,10,5.0,BUF,CIN,41.0,,68.0,5.0,6.0,0,0
2013,6,CAR,59.5,61.6,60.6,3,0,0,0,31,10.3,3,0,0,0,22,7.3,CAR,MIN,44.5,DOME,72.0,0.0,2.5,0,0
2013,6,CHI,63.0,60.7,63.4,3,0,0,0,73,24.3,1,0,0,0,0,0.0,CHI,NYG,48.0,,63.0,6.0,-8.5,1,0
2013,6,CIN,69.3,73.7,73.65,4,0,0,0,103,25.8,3,1,0,0,34,15.75,CIN,BUF,41.0,,68.0,5.0,-6.0,1,0
2013,6,CLV,58.1,54.3,56.7,1,0,0,0,21,21.0,3,1,0,0,-10,-3.3,CLE,DET,43.5,,67.0,8.0,2.5,0,0
2013,6,DAL,72.9,87.6,89.7,3,0,0,0,113,37.7,2,0,0,1,109,54.5,DAL,WAS,51.5,DOME,72.0,0.0,-5.5,1,6
2013,6,DEN,57.8,60.7,58.4,0,0,0,0,0,,1,1,0,0,1,1.0,DEN,JAX,52.0,,59.0,7.0,-26.5,1,0
2013,6,DET,58.3,62.9,60.6,0,0,0,0,0,,5,1,0,0,22,4.4,DET,CLE,43.5,,67.0,8.0,-2.5,1,0
2013,6,GB,59.95,65.1,62.40000000000001,1,0,0,0,19,19.0,5,1,0,0,68,13.6,GB,BAL,48.0,Rain,68.0,10.0,-2.0,1,0
2013,6,HST,52.1,61.1,54.53333333333333,4,0,0,0,97,22.15,2,0,0,0,6,3.0,HOU,LAR,42.5,DOME (Open Roof),76.0,5.0,-9.0,1,0
2013,6,IND,65.8,61.8,63.95,5,0,0,0,124,24.8,2,0,0,0,10,5.0,IND,LAC,50.5,,69.0,3.0,-0.0,0,0
