ID,First Name,Last Name,Position,Team,Opponent,Salary,Rank,FPTS,FPTS_rand_0,FPTS_rand_1,FPTS_rand_2,FPTS_rand_3,FPTS_rand_4,Proj. Pts,Proj. Pts_rand_0,Proj. Pts_rand_1,Proj. Pts_rand_2,Proj. Pts_rand_3,FPPG,finalTeamID,teamPoints
nfl.p.31017,Christian,Kirk,WR,ARI,SF,16,28.0,8.9,7.299698409276429,8.628628490205594,4.7780995839560685,13.148311701130725,10.38896821722361,8.4,8.755999999999995,8.124266666666669,8.226700000000006,8.742000000000003,13.0,38,111.1
nfl.p.31868,Deebo,Samuel,WR,SF,ARI,13,36.0,8.7,8.911444069819781,3.4392049306377865,12.271321658667093,10.715149244276734,6.440427961434915,7.8,7.2270000000000065,7.180000000000006,7.242000000000005,7.832749999999989,8.1,38,111.1
nfl.t.1,Atlanta,Falcons,DEF,ATL,CAR,10,21.0,7.0,5.319112890953756,9.097272245544605,3.599433161903226,9.802786383320605,3.237671017824388,6.7,6.775000000000001,5.515999999999995,6.528700000000004,5.515999999999995,2.1,121,111.00000000000001
nfl.p.31002,Lamar,Jackson,QB,BAL,HOU,41,1.0,23.2,23.531244448881363,21.90787744631036,20.543447602633464,23.124084359745165,21.591832839346097,23.0,22.295999999999985,21.421999999999972,21.421999999999972,21.421999999999972,27.0,121,111.00000000000001
nfl.p.30121,Christian,McCaffrey,RB,CAR,ATL,41,1.0,21.4,20.64092653075568,20.763858400134303,20.359653374313353,21.64373787178395,22.339067752496526,20.6,19.53499999999997,19.53499999999997,19.53499999999997,19.53499999999997,27.6,121,111.00000000000001
nfl.p.30154,Dalvin,Cook,RB,MIN,DEN,32,2.0,18.6,18.7069286307459,22.481225839124598,21.473915424278367,18.906294555249065,17.37849582868954,17.6,18.334999999999976,19.53499999999997,16.327000000000027,17.443999999999996,22.0,121,111.00000000000001
nfl.p.31012,Mike,Gesicki,TE,MIA,BUF,10,17.0,4.4,4.081533244248865,3.734391206062357,4.041522004963525,4.979289469293158,3.9676747227171303,4.5,4.443000000000002,5.004000000000002,4.759000000000004,5.004000000000002,4.7,121,111.00000000000001
nfl.p.28592,Darren,Waller,TE,OAK,CIN,21,3.0,9.4,8.723085084101726,9.26104267898373,15.146945159486501,8.233347868838822,7.749664267237856,8.0,7.291250000000009,7.744083333333342,7.744083333333342,10.01416666666666,11.4,121,111.00000000000001
nfl.p.30153,Curtis,Samuel,WR,CAR,ATL,20,20.0,10.1,10.376849140764424,9.316437019043299,9.97851397205402,4.930603693321699,5.8040891320141395,8.9,8.742000000000003,8.946999999999997,8.90699999999999,9.818999999999987,10.6,121,111.00000000000001
nfl.p.28402,DeVante,Parker,WR,MIA,BUF,12,39.0,8.2,7.0549686554470705,9.605179915772961,8.173879573040015,9.150057480382548,7.2013010831472375,7.5,7.2270000000000065,7.202000000000006,7.296999999999998,7.732999999999993,9.7,121,111.00000000000001
nfl.p.31868,Deebo,Samuel,WR,SF,ARI,13,36.0,8.7,8.911444069819781,3.4392049306377865,12.271321658667093,10.715149244276734,6.440427961434915,7.8,7.2270000000000065,7.180000000000006,7.242000000000005,7.832749999999989,8.1,121,111.00000000000001
nfl.t.1,Atlanta,Falcons,DEF,ATL,CAR,10,21.0,7.0,5.319112890953756,9.097272245544605,3.599433161903226,9.802786383320605,3.237671017824388,6.7,6.775000000000001,5.515999999999995,6.528700000000004,5.515999999999995,2.1,242,110.6
nfl.p.31002,Lamar,Jackson,QB,BAL,HOU,41,1.0,23.2,23.531244448881363,21.90787744631036,20.543447602633464,23.124084359745165,21.591832839346097,23.0,22.295999999999985,21.421999999999972,21.421999999999972,21.421999999999972,27.0,242,110.6
nfl.p.30121,Christian,McCaffrey,RB,CAR,ATL,41,1.0,21.4,20.64092653075568,20.763858400134303,20.359653374313353,21.64373787178395,22.339067752496526,20.6,19.53499999999997,19.53499999999997,19.53499999999997,19.53499999999997,27.6,242,110.6
nfl.p.31856,Josh,Jacobs,RB,OAK,CIN,29,4.0,17.1,17.348893681309917,17.657842331185467,18.22328769439681,16.62497988568253,17.67049738538011,15.7,17.443999999999996,18.334999999999976,16.327000000000027,15.00500000000002,15.9,242,110.6
nfl.p.9353,Jared,Cook,TE,NO,TB,18,5.0,7.2,11.478189298515751,4.9957315750485005,-0.9653859296405605,7.876201544499491,7.443584393257982,7.6,7.744083333333342,7.744083333333342,7.291250000000009,8.4245,6.7,242,110.6
nfl.p.28592,Darren,Waller,TE,OAK,CIN,21,3.0,9.4,8.723085084101726,9.26104267898373,15.146945159486501,8.233347868838822,7.749664267237856,8.0,7.291250000000009,7.744083333333342,7.744083333333342,10.01416666666666,11.4,242,110.6
nfl.p.30502,Zach,Pascal,WR,IND,JAX,15,37.0,8.4,0.1573067898214635,12.699744878823235,7.611727217119206,8.110029281436367,7.234491382405663,7.7,7.763999999999992,7.462999999999998,7.732999999999993,7.296999999999998,7.8,242,110.6
nfl.p.28402,DeVante,Parker,WR,MIA,BUF,12,39.0,8.2,7.0549686554470705,9.605179915772961,8.173879573040015,9.150057480382548,7.2013010831472375,7.5,7.2270000000000065,7.202000000000006,7.296999999999998,7.732999999999993,9.7,242,110.6
nfl.p.31868,Deebo,Samuel,WR,SF,ARI,13,36.0,8.7,8.911444069819781,3.4392049306377865,12.271321658667093,10.715149244276734,6.440427961434915,7.8,7.2270000000000065,7.180000000000006,7.242000000000005,7.832749999999989,8.1,242,110.6
