"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Auden Tate","CIN","3.7","48.3","0.1","0.0","0.3","0.0","0.1","5.6"
"","high","4.2","55.4","0.3","0.1","1.0","0.0","0.0","6.7"
"","low","3.1","41.3","0.0","0.0","0.0","0.0","0.1","4.5"
"Josh Reynolds","LAR","3.3","42.7","0.2","0.3","2.0","0.0","0.0","5.6"
"","high","4.0","51.7","0.3","0.6","4.0","0.0","0.0","7.2"
"","low","2.1","33.4","0.0","0.1","0.5","0.0","0.0","3.9"
"Alex Erickson","CIN","3.5","43.8","0.1","0.4","2.0","0.0","0.1","5.3"
"","high","4.9","60.0","0.3","0.5","2.9","0.0","0.0","7.9"
"","low","2.8","34.2","0.0","0.4","1.2","0.0","0.1","3.7"
"Demaryius Thomas","NYJ","3.7","42.8","0.2","0.0","0.0","0.0","0.0","5.1"
"","high","4.0","47.7","0.3","0.0","0.0","0.0","0.0","5.8"
"","low","3.4","37.0","0.0","0.0","0.0","0.0","0.1","3.7"
"Jakeem Grant","MIA","3.2","40.6","0.1","0.5","2.4","0.0","0.1","5.0"
"","high","4.0","62.0","0.2","0.9","6.0","0.0","0.0","7.9"
"","low","2.3","21.5","0.0","0.3","0.2","0.0","0.1","2.8"
"Danny Amendola","DET","3.9","42.4","0.1","0.0","0.1","0.0","0.0","5.0"
"","high","4.3","46.0","0.2","0.1","0.3","0.0","0.0","5.4"
"","low","3.2","41.2","0.0","0.0","0.0","0.0","0.0","4.6"
"Deebo Samuel","SF","2.9","34.1","0.2","0.5","3.8","0.0","0.1","4.8"
"","high","3.7","42.7","0.3","0.8","5.6","0.1","0.0","5.6"
"","low","2.0","27.0","0.0","0.4","2.4","0.0","0.1","2.7"
"Chester Rogers","IND","3.2","36.2","0.2","0.1","0.3","0.0","0.0","4.7"
"","high","4.0","42.5","0.4","0.2","1.0","0.0","0.0","6.5"
"","low","2.8","27.0","0.0","0.0","0.0","0.0","0.1","3.8"
"Albert Wilson","MIA","3.1","35.6","0.1","0.3","1.5","0.0","0.0","4.5"
"","high","4.1","52.6","0.2","0.4","3.0","0.0","0.0","6.6"
"","low","2.6","24.8","0.0","0.1","0.6","0.0","0.0","3.4"
"Taylor Gabriel","CHI","2.8","33.6","0.2","0.3","2.0","0.0","0.0","4.5"
"","high","3.3","40.5","0.3","0.5","3.9","0.0","0.0","6.2"
"","low","2.0","19.0","0.0","0.0","0.0","0.0","0.0","1.9"
"Randall Cobb","DAL","3.5","37.1","0.1","0.2","0.7","0.0","0.0","4.5"
"","high","4.3","49.0","0.3","0.5","1.3","0.0","0.0","6.3"
"","low","3.0","31.3","0.0","0.0","0.0","0.0","0.1","3.4"
"Marquez Valdes-Scantling","GB","2.2","37.3","0.1","0.2","1.3","0.0","0.0","4.5"
"","high","2.8","47.4","0.2","0.2","2.0","0.0","0.0","5.4"
"","low","1.5","22.4","0.0","0.1","0.4","0.0","0.0","3.0"
"Olabisi Johnson","MIN","2.9","35.2","0.1","0.1","1.0","0.0","0.0","4.4"
"","high","3.0","41.3","0.2","0.4","3.0","0.0","0.0","4.8"
"","low","2.8","28.0","0.0","0.0","0.0","0.0","0.0","4.1"
"Adam Humphries","TEN","3.4","35.1","0.1","0.2","1.0","0.0","0.0","4.3"
"","high","3.8","39.9","0.2","0.5","3.0","0.0","0.0","4.7"
"","low","3.0","32.0","0.0","0.0","0.0","0.0","0.0","3.5"
"Allen Hurns","MIA","2.4","33.1","0.2","0.0","0.0","0.0","0.0","4.3"
"","high","3.0","39.9","0.2","0.0","0.0","0.0","0.0","5.0"
"","low","2.1","25.0","0.1","0.0","0.0","0.0","0.0","3.7"
"Josh Gordon","SEA","2.3","34.7","0.1","0.0","0.0","0.0","0.0","4.2"
"","high","3.0","43.3","0.3","0.1","0.1","0.0","0.0","5.8"
"","low","1.5","21.0","0.0","0.0","0.0","0.0","0.0","2.7"
"Hunter Renfrow","OAK","3.1","33.6","0.1","0.2","1.3","0.0","0.0","4.1"
"","high","4.0","44.0","0.2","0.7","5.0","0.0","0.0","4.7"
"","low","2.1","18.0","0.0","0.0","0.0","0.0","0.0","2.7"
"Anthony Miller","CHI","2.5","32.5","0.1","0.4","2.2","0.0","0.1","4.1"
"","high","3.0","38.2","0.2","0.8","5.0","0.0","0.0","4.6"
"","low","2.0","25.5","0.0","0.2","0.5","0.0","0.1","3.7"
"James Washington","PIT","2.3","33.0","0.1","0.0","0.0","0.0","0.0","3.9"
"","high","2.7","42.0","0.2","0.0","0.0","0.0","0.0","5.2"
"","low","2.0","19.0","0.0","0.0","0.0","0.0","0.0","1.9"
"Mecole Hardman","KC","1.8","27.2","0.1","0.2","1.3","0.0","0.0","3.6"
"","high","2.7","42.6","0.4","0.5","3.0","0.0","0.0","6.7"
"","low","1.0","15.0","0.0","0.1","0.5","0.0","0.1","2.2"
"Geronimo Allison","GB","2.3","29.3","0.1","0.1","0.8","0.0","0.1","3.6"
"","high","2.9","36.6","0.2","0.2","2.0","0.0","0.0","4.1"
"","low","2.0","23.0","0.0","0.0","0.2","0.0","0.1","3.1"
"Russell Gage","ATL","2.4","28.1","0.1","0.3","1.8","0.0","0.0","3.5"
"","high","2.8","33.0","0.1","0.6","4.4","0.0","0.0","3.5"
"","low","1.9","23.2","0.0","0.0","0.1","0.0","0.0","3.1"
"Willie Snead","BAL","2.3","28.5","0.1","0.1","0.6","0.0","0.0","3.5"
"","high","3.0","33.4","0.2","0.2","1.0","0.0","0.0","4.4"
"","low","1.4","18.0","0.0","0.0","0.2","0.0","0.0","2.8"
"Dante Pettis","SF","2.0","25.1","0.1","0.0","0.3","0.0","0.0","3.4"
