"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","4.2","14.8","0.1","1.4","10.9","0.1","0.0","3.3"
"","low","1.9","7.8","0.0","0.4","4.7","0.0","0.0","2.0"
"Devontae Booker","LV","3.8","13.5","0.0","1.1","7.4","0.0","0.0","2.4"
"","high","6.0","28.3","0.1","1.8","9.0","0.0","0.0","4.1"
"","low","2.2","3.9","0.0","0.6","5.2","0.0","0.1","1.4"
"Lamical Perine","NYJ","3.2","12.2","0.0","0.8","5.8","0.0","0.0","2.2"
"","high","4.8","19.1","0.1","1.6","17.0","0.1","0.0","3.3"
"","low","2.0","8.0","0.0","0.0","0.0","0.0","0.0","1.1"
"Kalen Ballage","NYJ","2.4","9.1","0.1","1.2","7.3","0.0","0.0","2.0"
"","high","4.1","15.9","0.1","1.7","11.7","0.1","0.0","3.4"
"","low","0.7","2.0","0.0","0.2","0.9","0.0","0.0","1.0"
"Josh Adams","NYJ","3.9","12.6","0.1","0.7","1.5","0.0","0.0","2.0"
"","high","6.1","18.1","0.3","1.9","2.5","0.0","0.0","3.4"
"","low","1.3","5.0","0.0","0.1","1.0","0.0","0.1","0.8"
"Darius Bradwell","LAC","0.0","10.0","0.1","0.5","3.9","0.0","0.0","2.0"
"","high","0.0","10.0","0.1","0.5","3.9","0.0","0.0","2.0"
"","low","0.0","10.0","0.1","0.5","3.9","0.0","0.0","2.0"
"Darwin Thompson","KC","3.4","12.2","0.0","0.8","4.7","0.0","0.0","2.0"
"","high","8.7","28.7","0.1","2.3","9.0","0.0","0.0","2.3"
"","low","1.3","5.0","0.0","0.2","0.9","0.0","0.1","1.2"
"Raymond Calais","LAR","0.0","10.2","0.1","0.6","4.2","0.0","0.0","2.0"
"","high","0.0","10.2","0.1","0.6","4.2","0.0","0.0","2.0"
"","low","0.0","10.2","0.1","0.6","4.2","0.0","0.0","2.0"
"Travis Homer","SEA","2.8","10.0","0.0","0.8","4.8","0.0","0.0","1.8"
"","high","4.4","15.5","0.1","1.5","6.8","0.1","0.0","2.3"
"","low","1.4","5.6","0.0","0.4","2.4","0.0","0.0","1.0"
"Jaylen Samuels","PIT","1.5","5.0","0.0","1.3","8.9","0.0","0.0","1.7"
"","high","4.9","15.7","0.0","1.7","11.1","0.1","0.0","2.0"
"","low","0.2","1.0","0.0","0.9","6.6","0.0","0.0","1.1"
"Trenton Cannon","CAR","2.8","8.0","0.1","0.8","5.2","0.0","0.0","1.6"
"","high","6.2","19.3","0.1","1.1","8.1","0.0","0.0","3.3"
"","low","0.7","2.9","0.0","0.4","3.0","0.0","0.1","1.0"
"Patrick Laird","MIA","1.6","5.5","0.0","0.9","6.2","0.0","0.0","1.4"
"","high","3.4","11.5","0.1","1.5","13.6","0.0","0.0","2.8"
"","low","0.0","0.0","0.0","0.3","2.7","0.0","0.0","0.5"
"C.J. Prosise","HOU","1.6","7.8","0.0","0.6","3.8","0.0","0.0","1.4"
"","high","2.0","13.8","0.1","0.8","5.7","0.0","0.0","2.5"
"","low","1.4","5.1","0.0","0.2","2.0","0.0","0.0","0.9"
"Eno Benjamin","ARI","2.2","8.0","0.1","0.6","2.9","0.0","0.0","1.4"
"","high","2.6","8.1","0.1","1.0","3.3","0.0","0.0","1.7"
"","low","1.7","7.9","0.0","0.2","2.5","0.0","0.0","1.7"
"Tyler Ervin","GB","1.5","5.3","0.0","1.1","7.0","0.0","0.0","1.4"
"","high","3.6","12.2","0.0","1.8","11.0","0.1","0.0","1.9"
"","low","0.5","1.8","0.0","0.5","3.8","0.0","0.0","0.9"
"AJ Dillon","GB","2.6","10.2","0.0","0.4","1.9","0.0","0.0","1.4"
"","high","5.2","19.4","0.1","1.7","6.1","0.0","0.0","2.1"
"","low","0.5","2.2","0.0","0.0","0.0","0.0","0.1","0.2"
"Corey Clement","PHI","1.8","7.1","0.0","0.6","3.8","0.0","0.0","1.3"
"","high","4.5","14.3","0.1","1.6","6.0","0.0","0.0","2.3"
"","low","0.3","1.4","0.0","0.1","0.9","0.0","0.0","0.3"
"Andy Janovich","CLE","0.3","1.0","0.0","0.6","5.6","0.1","0.0","1.3"
"","high","0.5","2.0","0.1","0.9","7.7","0.1","0.0","2.0"
"","low","0.1","0.2","0.0","0.4","4.0","0.0","0.0","0.7"
