"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","low","2.7","35.8","0.0","0.0","0.0","0.0","0.1","5.2"
"Chris Conley","JAC","3.3","47.0","0.2","0.0","0.0","0.0","0.0","6.0"
"","high","4.0","53.3","0.4","0.0","0.1","0.0","0.0","7.1"
"","low","2.5","35.4","0.0","0.0","0.0","0.0","0.1","4.9"
"Hunter Renfrow","LV","3.9","48.1","0.2","0.2","0.7","0.0","0.0","6.0"
"","high","4.9","57.5","0.4","0.7","3.0","0.0","0.0","7.9"
"","low","3.0","36.9","0.0","0.0","0.0","0.0","0.1","4.1"
"Sammy Watkins","KC","3.4","46.4","0.2","0.2","1.2","0.0","0.0","5.9"
"","high","3.9","58.8","0.4","0.3","2.1","0.0","0.0","8.0"
"","low","2.7","33.7","0.0","0.0","0.0","0.0","0.0","3.7"
"Chris Hogan","NYJ","3.8","46.5","0.2","0.0","0.2","0.0","0.0","5.6"
"","high","4.8","59.0","0.3","0.1","0.8","0.0","0.0","7.3"
"","low","2.9","31.0","0.0","0.0","0.0","0.0","0.0","3.1"
"Brandon Aiyuk","SF","3.1","43.4","0.2","0.3","1.5","0.0","0.0","5.5"
"","high","5.0","59.2","0.3","0.8","3.0","0.0","0.0","7.3"
"","low","2.0","33.0","0.0","0.1","0.8","0.0","0.1","3.3"
"Andy Isabella","ARI","2.6","41.4","0.2","0.3","1.6","0.0","0.0","5.5"
"","high","3.8","77.0","0.5","0.8","4.6","0.0","0.0","10.6"
"","low","0.8","13.2","0.0","0.1","0.4","0.0","0.0","2.0"
"Danny Amendola","DET","4.0","45.7","0.2","0.0","0.1","0.0","0.0","5.4"
"","high","4.7","51.5","0.3","0.1","0.3","0.0","0.0","6.5"
"","low","2.0","35.0","0.0","0.0","0.0","0.0","0.1","3.5"
"Cole Beasley","BUF","3.8","44.3","0.2","0.0","0.0","0.0","0.0","5.4"
"","high","5.3","58.8","0.3","0.0","0.1","0.0","0.0","7.8"
"","low","3.0","35.0","0.0","0.0","0.0","0.0","0.0","3.5"
"Michael Pittman Jr.","IND","3.4","42.6","0.2","0.1","0.5","0.0","0.0","5.3"
"","high","5.1","65.0","0.3","0.2","1.5","0.0","0.0","6.5"
"","low","2.1","23.0","0.0","0.0","0.0","0.0","0.1","3.5"
"Steven Sims","WAS","3.3","38.1","0.2","0.4","3.0","0.0","0.1","5.3"
"","high","4.7","49.0","0.4","0.6","6.3","0.1","0.0","7.3"
"","low","2.0","26.0","0.0","0.2","1.0","0.0","0.2","2.6"
"James Washington","PIT","2.9","40.9","0.2","0.0","0.0","0.0","0.0","5.1"
"","high","3.4","52.3","0.3","0.0","0.1","0.0","0.0","6.2"
"","low","2.4","29.0","0.0","0.0","0.0","0.0","0.1","2.9"
"Zach Pascal","IND","2.8","35.8","0.2","0.0","0.4","0.0","0.0","5.0"
"","high","3.8","48.7","0.5","0.1","0.9","0.0","0.0","6.6"
"","low","2.0","26.0","0.0","0.0","0.0","0.0","0.0","2.6"
"Damiere Byrd","NE","3.1","39.6","0.2","0.0","0.2","0.0","0.0","4.9"
"","high","4.4","49.0","0.4","0.1","0.8","0.0","0.0","6.7"
"","low","2.0","30.0","0.0","0.0","0.0","0.0","0.1","3.0"
"KJ Hamler","DEN","3.2","40.0","0.1","0.4","1.8","0.0","0.0","4.9"
"","high","4.6","54.2","0.3","0.9","3.0","0.0","0.0","6.4"
"","low","2.3","25.0","0.0","0.2","0.9","0.0","0.1","3.7"
"Miles Boykin","BAL","2.8","37.2","0.2","0.0","0.0","0.0","0.0","4.8"
"","high","3.9","50.3","0.4","0.0","0.1","0.0","0.0","6.4"
"","low","1.7","23.8","0.0","0.0","0.0","0.0","0.0","3.2"
"Isaiah Ford","MIA","3.4","39.0","0.1","0.1","0.5","0.0","0.0","4.8"
"","high","4.6","48.0","0.2","0.2","1.1","0.0","0.0","5.5"
"","low","1.8","21.5","0.0","0.0","0.0","0.0","0.0","2.9"
"Scotty Miller","TB","3.1","37.7","0.1","0.5","2.5","0.0","0.0","4.8"
"","high","4.5","53.3","0.2","0.8","4.7","0.0","0.0","5.8"
"","low","2.1","26.5","0.0","0.2","1.3","0.0","0.0","4.1"
"Randall Cobb","HOU","3.2","38.3","0.1","0.2","0.6","0.0","0.0","4.7"
"","high","4.6","52.5","0.2","0.3","1.1","0.0","0.0","5.6"
"","low","2.0","31.4","0.0","0.0","0.0","0.0","0.1","3.4"
"David Moore","SEA","2.2","32.4","0.2","0.2","1.6","0.0","0.0","4.6"
"","high","2.9","39.6","0.4","0.3","2.2","0.0","0.0","6.4"
"","low","1.8","24.0","0.0","0.1","1.0","0.0","0.1","2.4"
"Mecole Hardman","KC","2.4","34.3","0.2","0.3","1.7","0.0","0.0","4.6"
"","high","4.2","57.1","0.4","0.5","3.8","0.0","0.0","5.8"
"","low","1.6","23.1","0.0","0.0","0.0","0.0","0.1","3.5"
"Bryan Edwards","LV","2.9","37.1","0.1","0.1","0.5","0.0","0.0","4.4"
"","high","4.3","50.9","0.2","0.2","1.3","0.0","0.0","5.4"
"","low","2.2","25.0","0.0","0.0","0.0","0.0","0.1","3.3"
"Olabisi Johnson","MIN","2.8","34.9","0.1","0.0","0.2","0.0","0.0","4.3"
"","high","3.4","40.0","0.2","0.1","0.4","0.0","0.0","5.4"
"","low","2.4","31.1","0.0","0.0","0.0","0.0","0.0","3.7"
"Justin Jefferson","MIN","2.6","34.1","0.1","0.1","0.5","0.0","0.0","4.2"
"","high","4.3","50.8","0.2","0.2","1.3","0.0","0.0","5.8"
"","low","1.8","23.0","0.0","0.0","0.0","0.0","0.1","2.7"
"Tee Higgins","CIN","2.5","31.6","0.1","0.1","0.5","0.0","0.0","4.0"
"","high","3.7","43.3","0.2","0.2","1.1","0.0","0.0","5.7"
"","low","1.3","11.0","0.0","0.0","0.0","0.0","0.1","1.5"
"Darnell Mooney","CHI","2.4","30.1","0.1","0.0","0.3","0.0","0.0","3.9"
"","high","3.0","36.8","0.3","0.1","0.5","0.0","0.0","5.3"
"","low","1.4","16.3","0.0","0.0","0.0","0.0","0.1","2.2"
