"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"","high","6.7","3.7","36.1","0.1","0.1","0.9","2.9","0.0","0.0","0.7"
"","low","1.4","0.8","10.1","0.0","0.5","0.2","0.9","0.0","0.1","0.7"
"Nick Foles","JAC","4.1","2.3","21.9","0.1","0.2","0.5","1.3","0.0","0.1","0.7"
"","high","6.9","3.8","33.5","0.1","0.0","0.8","1.5","0.0","0.1","0.9"
"","low","1.4","0.9","10.3","0.0","0.4","0.2","1.1","0.0","0.1","0.9"
"Josh Rosen","MIA","4.3","2.5","24.0","0.1","0.2","0.4","0.6","0.0","0.1","0.7"
"","high","7.3","4.1","37.1","0.1","0.1","0.5","0.8","0.0","0.0","0.7"
"","low","1.4","0.9","11.0","0.0","0.4","0.2","0.4","0.0","0.1","0.7"
"Cooper Rush","DAL","4.9","2.8","25.8","0.0","0.2","0.4","0.6","0.0","0.1","0.6"
"","high","8.6","4.9","44.5","0.0","0.0","0.6","0.7","0.0","0.0","0.4"
"","low","1.2","0.7","7.2","0.0","0.4","0.2","0.5","0.0","0.1","0.4"
"Geno Smith","SEA","7.2","4.1","36.5","0.0","0.4","0.5","0.4","0.0","0.1","0.6"
"","high","7.2","4.1","36.5","0.0","0.4","0.5","0.4","0.0","0.1","0.0"
"","low","7.2","4.1","36.5","0.0","0.4","0.5","0.4","0.0","0.1","0.0"
"Mike Glennon","OAK","4.5","2.5","21.3","0.1","0.2","0.6","0.7","0.0","0.1","0.5"
"","high","7.6","3.9","32.8","0.1","0.0","0.9","1.2","0.0","0.1","0.8"
"","low","1.3","1.0","9.9","0.0","0.4","0.3","0.2","0.0","0.1","0.8"
"Jarrett Stidham","NE","5.2","2.7","23.4","0.0","0.2","0.6","0.9","0.0","0.1","0.5"
"","high","9.2","4.7","40.3","0.0","0.0","1.0","1.5","0.0","0.0","0.3"
"","low","1.2","0.7","6.5","0.0","0.4","0.2","0.2","0.0","0.1","0.3"
"Nick Mullens","SF","2.1","1.2","11.9","0.1","0.1","0.5","1.2","0.0","0.0","0.5"
"","high","3.0","1.7","13.8","0.1","0.1","0.7","2.2","0.0","0.0","0.6"
"","low","1.3","0.8","9.9","0.0","0.2","0.3","0.2","0.0","0.1","0.6"
"Matt Barkley","BUF","5.4","2.8","24.9","0.0","0.3","0.6","1.0","0.0","0.1","0.5"
"","high","9.6","5.0","42.5","0.0","0.1","1.1","1.6","0.0","0.0","0.1"
"","low","1.2","0.7","7.4","0.0","0.5","0.1","0.3","0.0","0.1","0.1"
"Brett Hundley","ARI","3.2","1.8","16.2","0.1","0.2","0.4","1.1","0.0","0.0","0.5"
"","high","5.0","2.7","23.8","0.1","0.1","0.5","1.1","0.0","0.0","0.7"
"","low","1.4","0.8","8.5","0.0","0.3","0.2","1.0","0.0","0.1","0.7"
"AJ McCarron","HOU","3.7","2.2","20.4","0.0","0.2","0.3","0.2","0.0","0.1","0.4"
"","high","6.1","3.5","30.7","0.0","0.0","0.4","0.3","0.0","0.0","0.4"
"","low","1.3","0.9","10.2","0.0","0.4","0.1","0.1","0.0","0.1","0.4"
"Kyle Sloter","DET","5.8","3.1","27.7","0.0","0.3","0.6","1.2","0.0","0.1","0.4"
"","high","5.8","3.1","27.7","0.0","0.3","0.6","1.2","0.0","0.1","0.0"
"","low","5.8","3.1","27.7","0.0","0.3","0.6","1.2","0.0","0.1","0.0"
"Chad Henne","KC","1.4","0.8","8.8","0.0","0.0","0.2","0.2","0.0","0.0","0.4"
"","high","1.4","0.8","8.8","0.0","0.0","0.2","0.2","0.0","0.0","0.4"
"","low","1.4","0.8","8.8","0.0","0.0","0.2","0.2","0.0","0.0","0.4"
"DeShone Kizer","OAK","5.5","3.0","26.1","0.0","0.3","0.6","1.1","0.0","0.1","0.4"
"","high","5.5","3.0","26.1","0.0","0.3","0.6","1.1","0.0","0.1","0.0"
"","low","5.5","3.0","26.1","0.0","0.3","0.6","1.1","0.0","0.1","0.0"
"Sean Mannion","MIN","3.9","2.1","18.9","0.0","0.2","0.5","0.6","0.0","0.1","0.3"
"","high","6.6","3.4","28.0","0.0","0.0","0.8","1.0","0.0","0.0","0.4"
"","low","1.3","0.8","9.7","0.0","0.4","0.3","0.2","0.0","0.1","0.4"
"Brett Rypien","DEN","1.0","0.6","7.4","0.0","0.0","0.1","0.2","0.0","0.0","0.3"
"","high","1.0","0.6","7.4","0.0","0.0","0.1","0.2","0.0","0.0","0.3"
"","low","1.0","0.6","7.4","0.0","0.0","0.1","0.2","0.0","0.0","0.3"
"Tim Boyle","GB","1.1","0.7","6.3","0.0","0.0","0.2","0.2","0.0","0.0","0.3"
"","high","1.1","0.7","6.3","0.0","0.0","0.2","0.2","0.0","0.0","0.3"
"","low","1.1","0.7","6.3","0.0","0.0","0.2","0.2","0.0","0.0","0.3"
"Garrett Gilbert","CLE","0.9","0.5","5.1","0.0","0.2","0.7","0.5","0.0","0.1","-0.1"
"","high","1.0","0.6","5.1","0.0","0.0","1.2","0.9","0.0","0.0","0.2"
"","low","0.8","0.4","5.0","0.0","0.4","0.2","0.2","0.0","0.1","0.2"
"David Fales","NYJ","1.3","0.7","6.9","0.0","0.2","0.9","1.4","0.0","0.1","-0.1"
"","high","1.3","0.8","8.3","0.0","0.1","1.6","2.2","0.0","0.0","0.2"
"","low","1.3","0.7","5.5","0.0","0.4","0.2","0.6","0.0","0.1","0.2"
""
""
