"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"","high","2.2","7.8","0.1","1.4","6.8","0.0","0.0","2.1"
"","low","0.2","0.7","0.0","0.0","0.3","0.0","0.0","0.4"
"Elijhaa Penny","NYG","2.0","6.3","0.0","0.6","2.6","0.0","0.0","1.2"
"","high","5.3","15.7","0.0","1.5","4.9","0.0","0.0","1.0"
"","low","0.6","2.4","0.0","0.1","0.3","0.0","0.0","0.7"
"Jordan Scarlett","CAR","1.9","6.4","0.0","0.5","2.0","0.0","0.0","1.2"
"","high","4.2","13.6","0.0","1.4","4.2","0.0","0.0","1.1"
"","low","0.3","1.0","0.0","0.1","0.9","0.0","0.0","0.5"
"Alex Armah","CAR","1.9","5.5","0.0","0.5","2.0","0.0","0.0","1.2"
"","high","5.5","16.3","0.1","1.5","5.1","0.0","0.0","1.1"
"","low","0.5","1.0","0.0","0.1","0.5","0.0","0.0","0.7"
"Derek Watt","LAC","1.4","4.7","0.0","0.5","3.2","0.0","0.0","1.1"
"","high","3.5","11.0","0.0","1.2","3.8","0.0","0.0","1.1"
"","low","0.5","1.0","0.0","0.2","2.0","0.0","0.0","0.7"
"Tyler Ervin","JAC","0.6","1.7","0.0","0.7","4.5","0.0","0.0","1.1"
"","high","1.1","3.1","0.0","0.8","5.9","0.0","0.0","1.2"
"","low","0.1","0.2","0.0","0.7","3.1","0.0","0.0","1.2"
"Myles Gaskin","MIA","1.4","4.6","0.0","0.5","2.4","0.0","0.0","1.0"
"","high","2.9","8.5","0.0","1.1","3.6","0.0","0.0","0.9"
"","low","0.7","2.5","0.0","0.1","1.4","0.0","0.0","0.6"
"Travis Homer","SEA","1.3","4.5","0.0","0.3","1.7","0.0","0.0","1.0"
"","high","2.2","7.8","0.1","0.6","2.3","0.0","0.0","1.8"
"","low","0.1","1.0","0.0","0.1","1.0","0.0","0.0","0.3"
"Roosevelt Nix","PIT","1.0","3.1","0.0","0.6","2.7","0.0","0.0","0.9"
"","high","3.1","8.4","0.0","0.9","5.1","0.0","0.0","1.5"
"","low","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.4"
"T.J. Yeldon","BUF","1.5","4.5","0.0","0.6","2.1","0.0","0.0","0.9"
"","high","2.7","8.0","0.0","1.0","3.4","0.0","0.0","0.5"
"","low","0.3","1.0","0.0","0.1","0.9","0.0","0.0","0.5"
"Patrick Laird","MIA","1.6","5.4","0.0","0.4","1.7","0.0","0.0","0.9"
"","high","2.0","5.8","0.0","0.8","2.5","0.0","0.0","1.0"
"","low","1.3","5.0","0.0","0.1","1.0","0.0","0.0","1.0"
"Devine Ozigbo","JAC","1.6","4.5","0.0","0.6","1.9","0.0","0.0","0.9"
"","high","1.6","4.5","0.0","0.6","1.9","0.0","0.0","0.0"
"","low","1.6","4.5","0.0","0.6","1.9","0.0","0.0","0.0"
"Nick Bawden","DET","0.7","2.3","0.0","0.6","3.6","0.0","0.0","0.9"
"","high","2.0","5.9","0.0","0.8","6.0","0.0","0.0","1.2"
"","low","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.4"
"Trenton Cannon","NYJ","0.8","2.5","0.0","0.6","2.9","0.0","0.0","0.8"
"","high","1.3","3.8","0.0","0.9","3.9","0.0","0.0","0.7"
"","low","0.3","1.2","0.0","0.2","2.0","0.0","0.0","0.7"
"T.J. Logan","TB","0.7","2.4","0.0","0.4","2.4","0.0","0.0","0.8"
"","high","1.6","6.2","0.1","0.7","3.6","0.0","0.0","1.8"
"","low","0.1","0.0","0.0","0.1","1.0","0.0","0.0","0.4"
"Mike Boone","MIN","1.2","5.6","0.0","0.3","0.7","0.0","0.0","0.8"
"","high","2.2","13.1","0.0","0.8","2.0","0.0","0.0","1.5"
"","low","0.2","0.7","0.0","0.0","0.0","0.0","0.0","0.3"
"Craig Reynolds","WAS","1.1","3.2","0.0","0.5","1.8","0.0","0.0","0.7"
"","high","2.2","6.3","0.0","0.8","2.7","0.0","0.0","0.3"
"","low","0.0","0.0","0.0","0.1","1.0","0.0","0.0","0.3"
"Devontae Booker","DEN","1.1","4.2","0.0","0.3","1.2","0.0","0.0","0.7"
"","high","1.8","7.4","0.0","0.6","2.1","0.0","0.0","1.1"
"","low","0.2","0.8","0.0","0.1","0.0","0.0","0.0","0.4"
"Damien Harris","NE","1.3","4.0","0.0","0.3","1.0","0.0","0.0","0.7"
"","high","2.5","7.6","0.0","0.9","2.3","0.0","0.0","0.6"
"","low","0.3","1.1","0.0","0.0","0.0","0.0","0.0","0.3"
"Anthony Sherman","KC","0.9","2.5","0.0","0.4","2.4","0.0","0.0","0.7"
"","high","2.3","6.2","0.0","0.7","5.0","0.0","0.0","0.9"
"","low","0.1","0.0","0.0","0.1","0.7","0.0","0.0","0.4"
"Javorius Allen","NYG","1.1","3.6","0.0","0.4","1.4","0.0","0.0","0.7"
"","high","2.8","8.5","0.0","1.1","3.6","0.0","0.0","0.5"
"","low","0.1","0.3","0.0","0.0","0.0","0.0","0.0","0.3"
"Michael Burton","WAS","0.9","3.1","0.0","0.4","1.6","0.0","0.0","0.7"
"","high","1.8","5.2","0.0","0.7","2.0","0.0","0.0","0.9"
