"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"","high","1.5","0.9","10.6","0.1","0.0","0.2","1.2","0.0","0.0","0.9"
"","low","1.5","0.9","10.6","0.1","0.0","0.2","1.2","0.0","0.0","0.9"
"C.J. Beathard","SF","0.0","0.0","18.5","0.1","0.1","0.0","0.0","0.0","0.0","0.9"
"","high","0.0","0.0","18.5","0.1","0.1","0.0","0.0","0.0","0.0","1.0"
"","low","0.0","0.0","18.5","0.1","0.1","0.0","0.0","0.0","0.0","1.0"
"Jameis Winston","NO","1.4","0.9","10.2","0.1","0.0","0.3","1.3","0.0","0.0","0.9"
"","high","1.4","0.9","10.2","0.1","0.0","0.3","1.3","0.0","0.0","0.9"
"","low","1.4","0.9","10.2","0.1","0.0","0.3","1.3","0.0","0.0","0.9"
"Kyle Allen","WAS","1.2","0.7","15.3","0.1","0.0","0.1","0.4","0.0","0.0","0.9"
"","high","1.2","0.7","22.4","0.1","0.0","0.1","0.5","0.0","0.0","1.1"
"","low","1.2","0.7","8.2","0.1","0.1","0.1","0.3","0.0","0.0","0.8"
"David Blough","DET","1.5","0.9","10.1","0.1","0.0","0.3","1.1","0.0","0.0","0.9"
"","high","1.5","0.9","10.1","0.1","0.0","0.3","1.1","0.0","0.0","0.9"
"","low","1.5","0.9","10.1","0.1","0.0","0.3","1.1","0.0","0.0","0.9"
"Nathan Peterman","LV","1.3","0.9","9.8","0.1","0.0","0.3","1.2","0.0","0.0","0.9"
"","high","1.3","0.9","9.8","0.1","0.0","0.3","1.2","0.0","0.0","0.9"
"","low","1.3","0.9","9.8","0.1","0.0","0.3","1.2","0.0","0.0","0.9"
"Ryan Finley","CIN","1.6","0.9","10.3","0.1","0.0","0.2","0.9","0.0","0.0","0.9"
"","high","1.6","0.9","10.3","0.1","0.0","0.2","0.9","0.0","0.0","0.9"
"","low","1.6","0.9","10.3","0.1","0.0","0.2","0.9","0.0","0.0","0.9"
"Nick Foles","CHI","2.3","1.6","16.4","0.1","0.1","0.1","0.4","0.0","0.0","0.9"
"","high","2.3","1.6","16.4","0.1","0.1","0.1","0.4","0.0","0.0","0.9"
"","low","2.3","1.6","16.4","0.1","0.1","0.1","0.4","0.0","0.0","0.9"
"Chase Daniel","DET","1.5","0.9","14.2","0.1","0.0","0.3","0.6","0.0","0.0","0.9"
"","high","1.5","0.9","17.7","0.1","0.0","0.3","1.1","0.0","0.0","0.9"
"","low","1.5","0.9","10.7","0.1","0.1","0.3","0.0","0.0","0.0","0.8"
"Mason Rudolph","PIT","1.4","1.0","13.8","0.1","0.0","0.2","0.5","0.0","0.0","0.9"
"","high","1.4","1.0","17.4","0.1","0.0","0.2","1.0","0.0","0.0","0.9"
"","low","1.4","1.0","10.2","0.1","0.1","0.2","0.0","0.0","0.0","0.9"
"Alex Smith","WAS","1.2","0.8","8.4","0.1","0.0","0.2","1.0","0.0","0.0","0.8"
"","high","1.2","0.8","8.4","0.1","0.0","0.2","1.0","0.0","0.0","0.8"
"","low","1.2","0.8","8.4","0.1","0.0","0.2","1.0","0.0","0.0","0.8"
"Blaine Gabbert","TB","1.4","0.8","13.6","0.1","0.1","0.3","0.1","0.0","0.0","0.8"
"","high","1.4","0.8","17.3","0.1","0.0","0.3","0.2","0.0","0.0","0.9"
"","low","1.4","0.8","9.9","0.1","0.1","0.3","0.0","0.0","0.0","0.8"
"Brian Hoyer","NE","1.3","0.8","10.3","0.1","0.0","0.3","0.2","0.0","0.0","0.8"
"","high","1.3","0.8","10.3","0.1","0.0","0.3","0.2","0.0","0.0","0.8"
"","low","1.3","0.8","10.3","0.1","0.0","0.3","0.2","0.0","0.0","0.8"
"Nate Sudfeld","PHI","1.1","0.7","9.6","0.1","0.0","0.2","0.2","0.0","0.0","0.8"
"","high","1.1","0.7","9.6","0.1","0.0","0.2","0.2","0.0","0.0","0.8"
"","low","1.1","0.7","9.6","0.1","0.0","0.2","0.2","0.0","0.0","0.8"
"Chad Henne","KC","1.4","0.8","8.9","0.1","0.0","0.1","0.4","0.0","0.0","0.8"
"","high","1.4","0.8","8.9","0.1","0.0","0.1","0.4","0.0","0.0","0.8"
"","low","1.4","0.8","8.9","0.1","0.0","0.1","0.4","0.0","0.0","0.8"
"Blake Bortles","DEN","1.3","0.7","7.8","0.1","0.0","0.2","0.8","0.0","0.0","0.8"
"","high","1.3","0.7","7.8","0.1","0.0","0.2","0.8","0.0","0.0","0.8"
"","low","1.3","0.7","7.8","0.1","0.0","0.2","0.8","0.0","0.0","0.8"
"Colt McCoy","NYG","1.5","1.0","11.9","0.1","0.0","0.1","0.4","0.0","0.0","0.7"
"","high","1.5","1.0","14.5","0.1","0.0","0.1","0.6","0.0","0.0","0.8"
"","low","1.5","1.0","9.3","0.0","0.1","0.1","0.2","0.0","0.0","0.7"
"Matt Schaub","ATL","1.8","1.2","12.2","0.1","0.1","0.2","0.2","0.0","0.0","0.7"
