"Rank","Tier","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev"
"309","undefined","","Russell Gage","ATL","WR151","vs. PHI","238","247","242.5","4.5"
"310","undefined","","Troy Fumagalli","DEN","TE71","vs. CHI","245","349","273.3","43.8"
"311","undefined","","Chris Manhertz","CAR","TE72","vs. TB","237","268","254.4","10.0"
"312","undefined","","Trent Sherfield","ARI","WR152","at BAL","231","345","288.0","57.0"
"313","undefined","","Chris Lacy","DET","WR153","vs. LAC","231","358","294.5","63.5"
"314","undefined","","Durham Smythe","MIA","TE73","vs. NE","232","299","265.5","33.5"
"315","undefined","","Olabisi Johnson","MIN","WR154","at GB","234","332","283.0","49.0"
"316","undefined","","Derek Carrier","OAK","TE74","vs. KC","235","311","273.0","38.0"
"317","undefined","","Drew Sample","CIN","TE75","vs. SF","249","333","269.0","32.1"
"318","undefined","","Anthony Firkser","TEN","TE76","vs. IND","252","255","253.0","1.4"
"319","undefined","","Logan Thomas","DET","TE77","vs. LAC","246","315","280.5","34.5"
"320","undefined","","Trevon Wesco","NYJ","TE78","vs. CLE","252","342","283.0","41.7"
"321","undefined","","Lee Smith","BUF","TE79","at NYG","250","292","271.0","21.0"
"322","undefined","","Mike Boone","MIN","RB89","at GB","251","307","279.0","28.0"
"323","undefined","","Reggie Bonnafon","CAR","RB90","vs. TB","256","264","260.0","4.0"
"324","undefined","","Tyler Conklin","NE","TE80","at MIA","257","329","293.0","36.0"
""
""
