"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"277","Luke Stocker","ATL","te","9","JAX","1.3","10","0","0","0","0","0","0","0","0","0","0.8373","0.6268","6.5801","0.0597","0.0021","0.001","0.0019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"278","Andrew Beck","DEN","te","10","DET","1.3","10","0","0","0","0","0","0","0","0","0","0.9394","0.6611","6.7026","0.0473","0.0023","0.0012","0.0018","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"279","Jaron Brown","SEA","wr","11","ARZ","2.2","10","0","0","0","0","0","0","0","0","0","1.1288","0.7078","10.2976","0.1303","0.0025","0.0013","0.0013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"280","Jake Kumerow","GB","wr","11","@MIN","2.2","10","0","0","0","0","0","0","0","0","0","1.5347","1.0554","13.3742","0.0633","0.0045","0.0022","0.0028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"281","Christian Blake","ATL","wr","9","JAX","2.2","10","0","0","0","0","0","0","0","0","0","1.4353","0.9667","11.6693","0.0914","0.0042","0.0021","0.0028","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"282","Braxton Berrios","NYJ","wr","4","PIT","2.2","10","0","0","0","0","0","0","0","0","0","1.663","1.0328","11.8419","0.0711","0.0223","0.0112","0.0027","11.7671","0.0125","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"283","David Fluellen","TEN","rb","11","NO","1","10","0","0","0","0","0","0","1.856","7.2838","0.0538","0","0","0","0","0.0066","0.0033","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"284","Keith Smith","ATL","rb","9","JAX","1","10","0","0","0","0","0","0","1.6592","6.4869","0.0599","0","0","0","0","0.006","0.003","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"285","Dontrelle Inman","IND","wr","6","CAR","2.1","10","0","0","0","0","0","0","0","0","0","1.4046","0.9111","12.4931","0.0634","0.0033","0.0016","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"286","Miles Boykin","BLT","wr","8","@CLV","2.1","10","0","0","0","0","0","0","0.0893","0.5764","0.0027","1.5022","0.874","11.1365","0.0794","0.0043","0.0022","0.0027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"287","Chris Hogan","CAR","wr","7","@IND","2","10","0","0","0","0","0","0","0","0","0","1.5362","0.9378","11.9522","0.057","0.0028","0.0014","0.0014","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"288","Cordarrelle Patterson","CHI","wr","6","KC","2","10","0","0","0","0","0","0","0.7577","5.102","0.0235","1.1808","0.8641","6.8189","0.0372","0.0394","0.0197","0.002","43.5507","0.0133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"289","Virgil Green","LAC","te","12","OAK","1","10","0","0","0","0","0","0","0","0","0","0.6347","0.4815","5.2659","0.0395","0.0029","0.0015","0.0008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"290","Maxx Williams","ARZ","te","12","@SEA","1","10","0","0","0","0","0","0","0","0","0","0.8323","0.651","5.0347","0.0303","0.0035","0.0017","0.0013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"291","Tyler Conklin","MIN","te","12","GB","1","10","0","0","0","0","0","0","0","0","0","0.6167","0.4447","5.3783","0.0377","0.0015","0.0008","0.0011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
