opponent,over_under_line,schedule_season,schedule_week,team,weather_detail,weather_temperature,weather_wind_mph,spread_team,is_favorite
ATL,,1974,9,LAR,,65.0,7.0,,0
ATL,,1975,5,LAR,,61.0,7.0,,0
ATL,,1976,13,LAR,,59.0,6.0,,0
ATL,,1977,13,LAR,,60.0,6.0,,0
ATL,,1978,2,LAR,,67.0,6.0,,0
ATL,35,1979,12,LAR,,59.0,16.0,7.0,1
ATL,44,1980,16,LAR,,57.0,7.0,3.0,1
ATL,42,1981,15,LAR,,59.0,7.0,-4.0,0
ATL,41,1983,7,LAR,,66.0,9.0,3.5,1
ATL,44,1984,6,LAR,,68.0,10.0,3.5,1
ATL,45,1985,4,LAR,,67.0,8.0,10.0,1
ATL,38,1986,8,LAR,,68.0,7.0,3.0,1
ATL,41.5,1987,10,LAR,,54.0,17.0,10.0,1
ATL,39,1988,15,LAR,,58.0,6.0,8.0,1
ATL,44,1989,5,LAR,,65.0,9.0,10.0,1
ATL,50,1990,7,LAR,,70.0,9.0,6.0,1
ATL,43,1991,15,LAR,,54.0,8.0,-6.0,0
ATL,45,1992,17,LAR,,55.0,6.0,1.0,1
ATL,43,1993,11,LAR,,59.0,15.0,3.0,1
ATL,44,1994,5,LAR,,66.0,8.0,-1.5,0
ATL,44,2016,14,LAR,,64.0,2.0,-5.0,0
ATL,,1974,8,MIA,,77.0,14.0,,0
ATL,43.5,1983,15,MIA,,72.0,10.0,8.5,1
ATL,44.5,1986,13,MIA,,78.0,11.0,8.5,1
ATL,44,1992,6,MIA,,83.0,9.0,8.0,1
ATL,48,1995,14,MIA,,71.0,4.0,4.5,1
ATL,38.5,2001,16,MIA,,70.0,4.0,7.0,1
ATL,39.5,2005,9,MIA,,78.0,6.0,-2.0,0
ATL,46,2013,3,MIA,,89.0,8.0,2.5,1
ATL,,1966,13,MIN,,20.0,14.0,,0
ATL,,1968,1,MIN,,73.0,13.0,,0
ATL,,1971,11,MIN,,26.0,8.0,,0
ATL,,1974,13,MIN,,28.0,10.0,,0
ATL,,1975,8,MIN,,46.0,11.0,,0
ATL,42,1980,1,MIN,,73.0,8.0,4.0,1
ATL,46,1984,3,MIN,DOME,72.0,0.0,-2.0,0
ATL,44.5,1987,7,MIN,DOME,72.0,0.0,14.0,1
ATL,40,1989,14,MIN,DOME,72.0,0.0,12.5,1
ATL,47.5,2002,13,MIN,DOME,72.0,0.0,-3.5,0
ATL,35.5,2007,1,MIN,DOME,72.0,0.0,3.0,1
ATL,43.5,2008,16,MIN,DOME,72.0,0.0,3.0,1
ATL,47.5,2014,4,MIN,,80.0,8.0,-5.5,0
ATL,,2019,1,MIN,,,,,0
ATL,,1972,2,NE,,59.0,12.0,,0
ATL,49,1980,2,NE,,69.0,13.0,8.0,1
ATL,38,1986,9,NE,,56.0,18.0,9.0,1
ATL,41,1998,10,NE,,44.0,9.0,4.5,1
ATL,45.5,2009,3,NE,Rain,64.0,14.0,4.5,1
ATL,56.5,2017,7,NE,,55.0,3.0,3.0,1
ATL,,1967,11,NO,,72.0,10.0,,0
ATL,,1970,1,NO,,82.0,8.0,,0
ATL,,1971,14,NO,,56.0,7.0,,0
ATL,,1972,5,NO,,74.0,7.0,,0
ATL,,1973,1,NO,,79.0,6.0,,0
ATL,,1974,3,NO,,79.0,8.0,,0
ATL,,1975,7,NO,DOME,72.0,0.0,,0
ATL,,1976,5,NO,DOME,72.0,0.0,,0
ATL,,1977,10,NO,DOME,72.0,0.0,,0
ATL,,1978,11,NO,DOME,72.0,0.0,,0
ATL,32,1979,1,NO,DOME,72.0,0.0,5.0,1
ATL,44,1980,7,NO,DOME,72.0,0.0,-3.0,0
ATL,41,1981,9,NO,DOME,72.0,0.0,-6.5,0
ATL,41,1982,9,NO,DOME,72.0,0.0,-5.0,0
ATL,45,1983,10,NO,DOME,72.0,0.0,1.0,1
ATL,44,1984,1,NO,DOME,72.0,0.0,6.0,1
ATL,44,1985,16,NO,DOME,72.0,0.0,6.0,1
ATL,41,1986,1,NO,DOME,72.0,0.0,3.5,1
ATL,40,1988,16,NO,DOME,72.0,0.0,8.0,1
ATL,42,1989,8,NO,DOME,72.0,0.0,7.5,1
ATL,43,1990,12,NO,DOME,72.0,0.0,4.5,1
